EPC,Phase,RSSI,Doppler
300833B2DDD9014000000000,0.889708856973672,-46,1.625
300833B2DDD9014000000003,5.65732114572224,-46.5,-10.5625
300833B2DDD9014000000016,5.13576767784113,-62.5,-11.375
300833B2DDD901400000001A,3.19681596195368,-42,10.5625
300833B2DDD9014000000000,4.85965113602171,-44,-3.25
300833B2DDD9014000000000,4.65716567202081,-44.5,3.25
300833B2DDD9014000000011,3.08636934522591,-56.5,15.4375
300833B2DDD9014000000018,3.61405873625857,-41.5,4.875
300833B2DDD901400000001D,4.67557344147543,-39.5,3.25
300833B2DDD9014000000000,5.87207845602623,-46,-9.75
300833B2DDD9014000000000,3.19068003880213,-41.5,-1.625
300833B2DDD9014000000002,2.84706834231575,-45.5,8.125
300833B2DDD9014000000000,0.294524311274043,-60,-6.5
300833B2DDD9014000000000,1.23332055346006,-41,3.25
300833B2DDD9014000000000,3.68768981407708,-59,43.125
300833B2DDD9014000000000,0.71790300873048,-54,24.375
300833B2DDD9014000000000,0.963339934792183,-57,-1.625
300833B2DDD9014000000015,3.89631120122953,-68.5,76.4375
300833B2DDD9014000000000,5.58369006790373,-64,-60.1875
300833B2DDD901400000000C,1.88986433067511,-63,18.6875
300833B2DDD9014000000012,5.6511852225707,-54.5,-6.5
300833B2DDD9014000000000,6.24636976827033,-66.5,-58.5625
300833B2DDD9014000000000,5.90889399493549,-57,-7.3125
300833B2DDD901400000000D,4.49149574692916,-60,8.125
300833B2DDD9014000000000,4.1662918198974,-52,11.375
300833B2DDD9014000000031,5.45483568172134,-62,4.875
300833B2DDD9014000000000,6.19728238305799,-62.5,-47.1875
300833B2DDD901400000000F,0.527689391032661,-57,0
300833B2DDD9014000000000,2.57095180049633,-68.5,8.9375
300833B2DDD9014000000013,5.12349583153804,-57,-4.875
300833B2DDD9014000000000,1.24559239976314,-41,0
300833B2DDD9014000000000,0.816077779155161,-54,-3.25
300833B2DDD901400000001D,4.68784528777852,-39.5,0
300833B2DDD901400000002D,1.74260217503809,-40,-3.25
300833B2DDD9014000000000,5.3198453723874,-64,36.5625
300833B2DDD9014000000031,5.47324345117597,-62.5,-6.5
300833B2DDD9014000000000,5.86594253287469,-46.5,-1.625
300833B2DDD901400000000D,4.47922390062607,-59.5,15.4375
300833B2DDD9014000000008,5.19712690935655,-44.5,-1.625
300833B2DDD9014000000003,5.66345706887379,-46.5,-8.125
300833B2DDD901400000001A,3.22135965455985,-42,7.3125
300833B2DDD9014000000000,3.19681596195368,-41.5,0
300833B2DDD9014000000002,2.85320426546729,-45.5,8.125
300833B2DDD9014000000000,0.883572933822129,-46,4.875
300833B2DDD9014000000000,4.68170936462698,-44.5,-3.25
300833B2DDD9014000000018,3.62019465941011,-41.5,9.75
300833B2DDD9014000000011,3.08636934522591,-56,17.0625
300833B2DDD9014000000029,2.15984494934298,-52.5,26.8125
300833B2DDD9014000000000,0.269980618667873,-60,1.625
300833B2DDD9014000000001,0.638136007760427,-47.5,12.1875
300833B2DDD9014000000013,5.13576767784113,-57,-1.625
300833B2DDD9014000000012,5.6511852225707,-55,-4.875
300833B2DDD9014000000000,6.17273869045182,-68.5,-65.875
300833B2DDD9014000000000,4.88419482862788,-43.5,-3.25
300833B2DDD9014000000000,0.95720401164064,-57,-3.25
300833B2DDD9014000000000,3.66314612147091,-59,41.5
300833B2DDD901400000000F,0.570640853093458,-57,-1.625
300833B2DDD9014000000000,6.11751538208794,-62.5,-18.6875
300833B2DDD9014000000016,5.09895213893187,-63,18.6875
300833B2DDD9014000000000,4.16015589674586,-52,17.0625
300833B2DDD9014000000000,2.51572849213245,-68.5,17.0625
300833B2DDD9014000000000,5.94570953384475,-57,-18.6875
300833B2DDD901400000000C,1.92054394643282,-63,11.375
300833B2DDD9014000000003,5.64504929941916,-46.5,-1.625
300833B2DDD9014000000000,3.19681596195368,-41.5,4.875
300833B2DDD9014000000000,3.69382573722862,-59,34.9375
300833B2DDD901400000001A,3.20908780825676,-42,10.5625
300833B2DDD901400000000C,1.92667986958437,-62.5,9.75
300833B2DDD9014000000000,1.2394564766116,-41.5,3.25
300833B2DDD9014000000001,0.662679700366597,-48,3.25
300833B2DDD9014000000000,6.17273869045182,-62.5,-28.4375
300833B2DDD9014000000000,0.901980703276757,-46,0
300833B2DDD9014000000000,4.85965113602171,-43.5,0
300833B2DDD9014000000000,4.65716567202081,-44.5,4.875
300833B2DDD901400000001D,4.66943751832389,-40,4.875
300833B2DDD9014000000000,0.282252464970958,-60.5,-11.375
300833B2DDD9014000000000,5.97638914960246,-68,-45.5625
300833B2DDD9014000000018,3.62633058256166,-41.5,8.125
300833B2DDD9014000000029,2.21506825770687,-52.5,6.5
300833B2DDD901400000002D,1.74260217503809,-40.5,0
300833B2DDD9014000000008,5.19099098620501,-44.5,3.25
300833B2DDD9014000000002,2.83479649601267,-46,13.8125
300833B2DDD9014000000000,5.86594253287469,-46.5,-3.25
300833B2DDD9014000000000,5.96411730329937,-57,-12.1875
300833B2DDD9014000000000,0.938796242186012,-57,10.5625
300833B2DDD9014000000000,4.1662918198974,-52,12.1875
300833B2DDD9014000000000,0.809941856003619,-54,-4.875
300833B2DDD9014000000011,3.04341788316511,-56.5,33.3125
300833B2DDD9014000000012,5.67572891517687,-55,-13.8125
300833B2DDD9014000000013,5.15417544729575,-58,-1.625
300833B2DDD901400000000F,0.595184545699629,-57.5,-9.75
300833B2DDD9014000000031,5.56528229844911,-62,-20.3125
300833B2DDD901400000000D,4.47308797747453,-60,20.3125
300833B2DDD9014000000000,2.70594210983027,-68.5,-30.875
300833B2DDD9014000000016,5.17871913990192,-63,-3.25
300833B2DDD9014000000015,3.71223350668325,-67.5,137.5
300833B2DDD9014000000002,2.84706834231575,-46,9.75
300833B2DDD9014000000000,2.66299064776947,-67.5,13.8125
300833B2DDD9014000000000,0.895844780125214,-46,3.25
300833B2DDD9014000000000,0.901980703276757,-57,15.4375
