EPC,Phase,RSSI,Doppler
300833B2DDD9014000000001,2.135301257,-54.5,-11.375
300833B2DDD9014000000000,3.607922813,-54.5,7.3125
300833B2DDD9014000000000,1.846912869,-42.5,-1.625
300833B2DDD9014000000000,2.834796496,-53,4.875
300833B2DDD9014000000000,1.319223478,-61.5,-1.625
300833B2DDD9014000000015,3.055689729,-58,0
300833B2DDD9014000000000,2.724349879,-41,6.5
300833B2DDD9014000000000,1.043106936,-42.5,1.625
300833B2DDD9014000000006,3.393165503,-40,7.3125
300833B2DDD9014000000008,3.337942194,-36,3.25
300833B2DDD9014000000000,3.27044704,-37,3.25
300833B2DDD9014000000001,1.951223562,-38,4.875
300833B2DDD9014000000000,0.963339935,-61.5,-8.125
300833B2DDD9014000000013,2.380738183,-41.5,0
300833B2DDD9014000000000,5.933437688,-56.5,11.375
300833B2DDD9014000000000,4.313553976,-55,13.8125
300833B2DDD901400000000D,1.687378867,-39.5,-4.875
300833B2DDD9014000000031,0.951068088,-55,-1.625
300833B2DDD9014000000019,2.583223647,-45.5,7.3125
300833B2DDD9014000000000,1.822369176,-42.5,-4.875
300833B2DDD9014000000003,1.724194406,-52.5,-1.625
300833B2DDD9014000000012,2.577087724,-50.5,0
300833B2DDD9014000000000,1.36217494,-50.5,-11.375
300833B2DDD9014000000000,0.871301088,-55.5,0
300833B2DDD9014000000000,0.21475731,-48,3.25
300833B2DDD9014000000000,1.233320553,-55,-8.9375
300833B2DDD9014000000011,1.859184715,-57.5,-17.0625
300833B2DDD9014000000000,3.48520435,-45,4.875
300833B2DDD901400000000B,0.104310694,-56,0
300833B2DDD9014000000003,1.748738098,-53,-4.875
300833B2DDD9014000000000,1.349903093,-50.5,-9.75
300833B2DDD9014000000000,5.964117303,-34.5,-1.625
300833B2DDD9014000000029,1.945087639,-34,-4.875
300833B2DDD9014000000000,0.128854386,-33,-3.25
300833B2DDD901400000001D,3.209087808,-33,0
300833B2DDD9014000000000,2.503456646,-29,-3.25
300833B2DDD901400000002E,3.374757733,-55,13.8125
300833B2DDD901400000001A,1.380582709,-35.5,1.625
300833B2DDD9014000000000,3.282718886,-37,1.625
300833B2DDD901400000000B,0.153398079,-55.5,-20.3125
300833B2DDD901400000002D,5.878214379,-37.5,1.625
300833B2DDD9014000000000,0.23316508,-48,-1.625
300833B2DDD9014000000000,1.822369176,-43,4.875
300833B2DDD9014000000012,2.58935957,-50.5,-1.625
300833B2DDD9014000000018,2.540272185,-32.5,-6.5
300833B2DDD9014000000008,3.344078118,-36.5,3.25
300833B2DDD9014000000001,2.110757564,-55,0
300833B2DDD9014000000002,2.423689645,-32.5,-1.625
300833B2DDD9014000000000,4.491495747,-36,6.5
300833B2DDD9014000000000,3.552699505,-46.5,4.875
300833B2DDD9014000000000,3.552699505,-55,26
300833B2DDD901400000000D,1.681242944,-40,1.625
300833B2DDD9014000000000,3.472932504,-45,12.1875
300833B2DDD9014000000000,1.159689476,-55,24.375
300833B2DDD9014000000016,2.411417799,-46,-4.875
300833B2DDD9014000000000,2.797980957,-53,17.0625
300833B2DDD9014000000013,2.380738183,-41.5,-3.25
300833B2DDD9014000000001,1.957359485,-37.5,-3.25
300833B2DDD9014000000015,2.957514959,-58.5,29.25
300833B2DDD9014000000031,0.926524396,-55,0
300833B2DDD9014000000000,2.730485802,-41,3.25
